n,c,s
100,437,158
200,873,314
300,1368,489
400,1817,644
500,2253,797
600,2777,973
700,3214,1136
800,3721,1304
900,4151,1457
1000,4685,1627
1100,5133,1798
1200,5638,1951
1300,6067,2129
1400,6568,2301
1500,6940,2453
1600,7498,2632
1700,7894,2768
1800,8359,2933
1900,8858,3100
2000,9316,3252
2100,9947,3425
2200,10316,3576
2300,10839,3738
2400,11030,3903
2500,11829,4100
2600,12085,4234
2700,12685,4454
2800,13238,4618
2900,13530,4741
3000,14102,4917
3100,14563,5062
3200,15134,5278
3300,15724,5456
3400,15762,5578
3500,16615,5757
3600,17057,5934
3700,17383,6068
3800,17668,6190
3900,18278,6424
4000,18978,6575
4100,19411,6706
4200,20011,6900
4300,20319,7056
4400,21089,7247
4500,21388,7395
4600,21662,7538
4700,22235,7745
4800,22565,7834
4900,22901,8008
5000,23562,8212
5100,23950,8367
5200,24788,8526
5300,25318,8748
5400,25815,8912
5500,25648,9058
5600,26433,9144
5700,27048,9395
5800,27525,9559
5900,27805,9699
6000,28172,9819
6100,28717,10025
6200,29516,10245
6300,29813,10381
6400,30231,10511
6500,30690,10735
6600,31560,10870
6700,31743,11058
6800,32513,11177
6900,32642,11348
7000,33183,11526
7100,33511,11645
7200,33871,11792
7300,34744,11996
7400,35220,12158
7500,35757,12396
7600,36176,12506
7700,36521,12687
7800,36763,12807
7900,37476,12948
8000,37863,13180
8100,38207,13317
8200,38926,13480
8300,39655,13684
8400,39760,13807
8500,40724,13910
8600,40751,14168
8700,41233,14290
8800,41521,14504
8900,41526,14626
9000,42396,14796
9100,42652,14948
9200,43823,15168
9300,44266,15304
9400,44557,15502
9500,44997,15693
9600,45908,15840
9700,45799,15970
9800,46810,16100
9900,46603,16281
10000,47610,16380
