n,c,s
100,445,159
200,896,318
300,1389,491
400,1834,649
500,2323,820
600,2788,981
700,3313,1143
800,3692,1289
900,4244,1475
1000,4780,1642
1100,5132,1782
1200,5541,1957
1300,6100,2130
1400,6500,2276
1500,7082,2464
1600,7507,2618
1700,8020,2789
1800,8458,2969
1900,8944,3113
2000,9494,3282
2100,9882,3414
2200,10374,3595
2300,10745,3760
2400,11306,3952
2500,11779,4110
2600,12243,4248
2700,12766,4414
2800,13173,4606
2900,13683,4770
3000,14105,4939
3100,14784,5108
3200,15171,5290
3300,15390,5419
3400,15799,5545
3500,16456,5740
3600,16828,5890
3700,17530,6091
3800,17874,6236
3900,18353,6385
4000,18944,6558
4100,19719,6742
4200,19863,6847
4300,20299,7048
4400,20638,7222
4500,21212,7391
4600,21796,7563
4700,22231,7700
4800,22605,7851
4900,23244,8094
5000,23710,8191
5100,24185,8367
5200,24612,8506
5300,25262,8749
5400,25435,8851
5500,25810,9046
5600,26331,9208
5700,27023,9398
5800,27565,9580
5900,27901,9663
6000,28236,9799
6100,28846,10016
6200,29060,10235
6300,29799,10374
6400,30217,10513
6500,31095,10715
6600,31071,10837
6700,32034,11055
6800,32680,11229
6900,32669,11335
7000,33112,11527
7100,33662,11679
7200,34328,11837
7300,34778,11992
7400,35371,12202
7500,35759,12379
7600,36105,12501
7700,36209,12651
7800,36496,12827
7900,37237,12965
8000,37597,13141
8100,38445,13351
8200,38903,13514
8300,38921,13618
8400,39589,13841
8500,40121,13997
8600,41198,14174
8700,41404,14288
8800,41625,14506
8900,42543,14677
9000,42280,14815
9100,43089,14975
9200,44267,15193
9300,44052,15318
9400,45275,15528
9500,44560,15614
9600,45807,15829
9700,45707,15985
9800,46714,16164
9900,47433,16339
10000,47817,16476
