n,c,s
100,432,155
200,891,316
300,1378,488
400,1828,645
500,2306,807
600,2774,970
700,3223,1144
800,3664,1287
900,4109,1456
1000,4587,1623
1100,5083,1778
1200,5558,1941
1300,6075,2137
1400,6512,2291
1500,6973,2428
1600,7463,2613
1700,7952,2793
1800,8376,2937
1900,8937,3087
2000,9262,3246
2100,9804,3444
2200,10064,3594
2300,10758,3737
2400,11116,3916
2500,11665,4070
2600,12084,4227
2700,12613,4429
2800,13151,4583
2900,13577,4739
3000,13841,4909
3100,14562,5069
3200,15015,5262
3300,15518,5437
3400,16010,5591
3500,16551,5778
3600,17120,5864
3700,17535,6074
3800,17963,6244
3900,18513,6418
4000,18668,6573
4100,19296,6726
4200,19982,6938
4300,20180,7062
4400,21336,7264
4500,21429,7423
4600,21498,7578
4700,22169,7731
4800,22797,7872
4900,23043,8001
5000,23874,8187
5100,24068,8386
5200,24679,8544
5300,25142,8716
5400,25832,8861
5500,25816,9050
5600,26474,9195
5700,27161,9374
5800,27500,9495
5900,27926,9685
6000,28698,9864
6100,28895,9996
6200,29305,10165
6300,29530,10362
6400,30628,10558
6500,30561,10701
6600,30933,10862
6700,31716,11035
6800,32325,11203
6900,32970,11334
7000,33335,11545
7100,33142,11640
7200,34272,11815
7300,34644,12053
7400,34865,12138
7500,35605,12316
7600,35842,12481
7700,36591,12701
7800,37132,12836
7900,37309,13003
8000,38380,13211
8100,38226,13287
8200,39065,13464
8300,38830,13668
8400,39087,13807
8500,40154,14013
8600,41315,14136
8700,41437,14348
8800,42054,14511
8900,41501,14651
9000,42283,14799
9100,43133,14964
9200,43892,15115
9300,43998,15319
9400,44400,15472
9500,45369,15636
9600,46245,15820
9700,45649,15971
9800,46963,16156
9900,46820,16295
10000,47066,16482
