n,c,s
100,193,109
200,684,349
300,914,455
400,1285,699
500,1458,730
600,1671,815
700,1824,884
800,2103,1087
900,2453,1285
1000,2570,1294
1100,2868,1453
1200,3154,1601
1300,3219,1605
1400,3429,1675
1500,3811,1872
1600,3896,1931
1700,3937,1917
1800,4517,2354
1900,4775,2519
2000,4925,2616
2100,5273,2766
2200,5110,2648
2300,5154,2568
2400,5919,3120
2500,6134,3196
2600,5861,2898
2700,6057,2940
2800,6356,3181
2900,6762,3502
3000,6868,3486
3100,6895,3383
3200,7132,3578
3300,7443,3714
3400,7724,3944
3500,7498,3510
3600,7944,4009
3700,8499,4371
3800,9567,5236
3900,9088,4584
4000,9155,4823
4100,8729,4206
4200,9162,4537
4300,9340,4543
4400,10046,5035
4500,9188,4249
4600,9716,4799
4700,9987,4751
4800,10485,5276
4900,11544,5995
5000,10741,5401
5100,11823,6166
5200,11261,5658
5300,12280,6515
5400,10692,4772
5500,11807,5960
5600,11960,5958
5700,12016,5914
5800,12630,6294
5900,12746,6386
6000,13634,7048
6100,13096,6562
6200,12667,5847
6300,12886,5962
6400,13502,6680
6500,13259,6281
6600,13923,6848
6700,13788,6513
6800,13391,6180
6900,14783,7414
7000,14833,7241
7100,15593,7990
7200,15459,7695
7300,16361,8551
7400,15457,7796
7500,15832,7790
7600,15982,7951
7700,16933,8650
7800,16601,8313
7900,15727,7301
8000,17266,8667
8100,18146,9348
8200,17827,9135
8300,17843,9044
8400,17300,8246
8500,18884,9711
8600,18578,9304
8700,17457,8164
8800,18501,9190
8900,19944,10397
9000,19436,10054
9100,19599,9907
9200,19880,10133
9300,20680,10638
9400,19506,9682
9500,20038,10182
9600,19352,9419
9700,20805,10451
9800,21734,11381
9900,20224,9936
10000,21164,10853
