n,c,s
100,429,153
200,883,316
300,1359,480
400,1848,637
500,2278,812
600,2828,991
700,3214,1125
800,3771,1307
900,4143,1459
1000,4616,1623
1100,5196,1792
1200,5649,1968
1300,5999,2112
1400,6486,2294
1500,6943,2441
1600,7463,2609
1700,7953,2784
1800,8406,2941
1900,8903,3091
2000,9426,3279
2100,9838,3436
2200,10390,3620
2300,10873,3772
2400,11368,3947
2500,11771,4106
2600,12448,4283
2700,12480,4384
2800,13168,4600
2900,13475,4758
3000,14093,4913
3100,14515,5081
3200,15139,5267
3300,15528,5440
3400,15817,5574
3500,16358,5749
3600,16957,5879
3700,17339,6051
3800,17900,6258
3900,18228,6405
4000,18984,6565
4100,19145,6674
4200,19741,6903
4300,20439,7045
4400,20480,7225
4500,21553,7427
4600,21626,7552
4700,21779,7650
4800,22564,7890
4900,23387,8021
5000,23827,8235
5100,23790,8338
5200,24993,8536
5300,25007,8725
5400,25616,8926
5500,26158,8990
5600,26327,9201
5700,27366,9420
5800,27383,9550
5900,27960,9723
6000,28356,9862
6100,28833,10037
6200,29328,10181
6300,29489,10342
6400,30240,10506
6500,30753,10668
6600,30670,10817
6700,32308,11015
6800,32286,11200
6900,32146,11409
7000,33160,11563
7100,33683,11681
7200,34416,11892
7300,34569,12023
7400,34919,12178
7500,35321,12371
7600,35828,12541
7700,36182,12638
7800,37103,12837
7900,36984,12980
8000,37983,13169
8100,38052,13326
8200,39025,13503
8300,39078,13660
8400,39459,13802
8500,40415,13962
8600,40224,14138
8700,40764,14281
8800,42075,14487
8900,42762,14654
9000,42677,14798
9100,43268,14916
9200,43642,15172
9300,43915,15294
9400,44523,15473
9500,44916,15623
9600,45556,15743
9700,45763,15933
9800,47034,16140
9900,47306,16232
10000,47907,16489
