n,c,s
100,439,157
200,892,321
300,1350,488
400,1847,652
500,2315,814
600,2806,980
700,3246,1137
800,3688,1313
900,4202,1467
1000,4695,1626
1100,5149,1803
1200,5611,1960
1300,6090,2120
1400,6660,2291
1500,7052,2462
1600,7558,2619
1700,7965,2788
1800,8416,2931
1900,8830,3112
2000,9328,3243
2100,9771,3440
2200,10228,3602
2300,10692,3770
2400,11269,3949
2500,11941,4105
2600,12185,4255
2700,12627,4409
2800,13131,4585
2900,13726,4761
3000,14083,4916
3100,14491,5104
3200,15123,5252
3300,15611,5406
3400,16012,5577
3500,16534,5742
3600,16821,5896
3700,17384,6067
3800,17817,6260
3900,18377,6376
4000,18980,6567
4100,19056,6712
4200,19976,6917
4300,20407,7089
4400,20937,7227
4500,21173,7368
4600,21577,7528
4700,22410,7717
4800,22677,7880
4900,22989,8009
5000,23608,8208
5100,24178,8383
5200,24547,8558
5300,25253,8683
5400,25414,8869
5500,26030,9021
5600,26894,9254
5700,27002,9373
5800,27326,9549
5900,28068,9705
6000,28369,9862
6100,28902,10079
6200,29525,10201
6300,29596,10285
6400,30462,10526
6500,30678,10693
6600,31100,10855
6700,31539,11028
6800,31892,11147
6900,32290,11408
7000,32655,11508
7100,33964,11684
7200,34053,11823
7300,34505,12022
7400,34916,12158
7500,35271,12363
7600,36259,12501
7700,36564,12671
7800,36996,12835
7900,37227,12981
8000,37515,13141
8100,38754,13344
8200,38522,13497
8300,39692,13686
8400,39732,13776
8500,40435,13971
8600,40932,14130
8700,41442,14352
8800,41570,14498
8900,42109,14624
9000,42951,14844
9100,43146,14967
9200,42903,15099
9300,44035,15215
9400,44743,15515
9500,44778,15606
9600,45372,15809
9700,45484,15990
9800,46424,16088
9900,46943,16306
10000,47293,16435
