n,c,s
100,245,126
200,465,245
300,688,348
400,889,461
500,1086,548
600,1346,709
700,1397,680
800,1704,868
900,1878,953
1000,2036,1015
1100,2304,1154
1200,2435,1188
1300,2676,1344
1400,2780,1334
1500,3114,1574
1600,3375,1716
1700,3695,1939
1800,3775,1906
1900,3924,1987
2000,4228,2201
2100,4303,2182
2200,4459,2220
2300,4728,2345
2400,4922,2448
2500,4853,2321
2600,5424,2765
2700,5160,2437
2800,6034,3209
2900,5576,2655
3000,6105,3087
3100,5979,2840
3200,6622,3374
3300,6381,2988
3400,7200,3745
3500,7077,3545
3600,7501,3853
3700,7777,4016
3800,7260,3435
3900,7745,3774
4000,8020,3965
4100,8333,4209
4200,8345,4098
4300,8977,4658
4400,9149,4729
4500,9292,4760
4600,8958,4318
4700,9487,4763
4800,10286,5373
4900,9742,4827
5000,10139,5072
5100,10596,5412
5200,10667,5450
5300,10778,5461
5400,11064,5610
5500,11420,5840
5600,11887,6191
5700,10537,4791
5800,11882,6054
5900,11980,6026
6000,12170,6152
6100,12789,6650
6200,11607,5371
6300,12519,6190
6400,12930,6383
6500,13569,7029
6600,13199,6575
6700,13013,6279
6800,14524,7708
6900,14077,7070
7000,13639,6582
7100,14110,6886
7200,14069,6804
7300,15087,7772
7400,14291,6852
7500,15139,7593
7600,14946,7269
7700,16054,8302
7800,15739,7869
7900,16169,8266
8000,16108,8008
8100,16051,7839
8200,16109,7877
8300,16217,7798
8400,17271,8818
8500,17229,8717
8600,17867,9199
8700,17815,9096
8800,16737,7911
8900,17641,8707
9000,19557,10535
9100,18991,9870
9200,18046,8828
9300,18928,9612
9400,17969,8448
9500,19319,9786
9600,19132,9516
9700,19594,9756
9800,20025,10202
9900,20157,10204
10000,19923,9906
